911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PDaSh-031	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - שיכרסון, 'שירה', 1989	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-032	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תלבושת - פרופסור בלכם, 'שירה', 1989	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-033	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורת במה - 'ינטל', 1982	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-034	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורת במה - 'ינטל', 1982	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-035	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תפאורה - 'תמול שלשום', 1993-1994	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-036	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מופע - 'שדוכין', 1969	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-037	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - השדכנית (פולקה), 'שדוכין', 1969	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-038	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - המחזר (ביציה), 'שדוכין', 1969	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-039	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תפאורת ההצגה 'שדוכין', 1969	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-040	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - שרה, 'ארבע אמהות', 1995	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-041	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - חתונת לאה, 'ארבע אמהות', 1995	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-042	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - רבקה, 'ארבע אמהות', 1995	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-043	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - דמות תנכית, 'הדרך הנצחית', 2000	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-044	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - יוסף, 'הדרך הנצחית', 2000	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-045	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצה לעיצוב תלבושת - 'הדרך הנצחית', 2000	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-046	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תפאורת במה - 'אסתר המלכה', 1966	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-047	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תפאורת במה ותלבושות - 'פריזמה', 1976	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-048	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מופע - 'פריזמה', 1976	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-049	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תפאורת במה - 'פולחן האביב', 1977	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-050	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום דגם תפאורת במה - 'פולחן האביב', 1977	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
