000000016 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000016 911   L $$aPShKo-DNC-LDNBG-013$$cאוסף שוש קורמוש
000000016 351   L $$cFile Record
000000016 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000016 BAS   L $$aVIS
000000016 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000016 OWN   L $$aNNL
000000016 STA   L $$aSUPPRESSED
000000017 FMT   L MX
000000017 LDR   L 00000npc^a22^^^^^^^^4500
000000017 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000017 911   L $$aPShKo-DNC-LDNBG-014$$cאוסף שוש קורמוש
000000017 351   L $$cFile Record
000000017 24510 H $$aתצלומים - רקדנית לא ידועה
000000017 BAS   L $$aVIS
000000017 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000017 OWN   L $$aNNL
000000017 STA   L $$aSUPPRESSED
000000018 FMT   L MX
000000018 LDR   L 00000npc^a22^^^^^^^^4500
000000018 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000018 911   L $$aPShKo-DNC-LDNBG-015$$cאוסף שוש קורמוש
000000018 351   L $$cFile Record
000000018 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000018 BAS   L $$aVIS
000000018 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000018 OWN   L $$aNNL
000000018 STA   L $$aSUPPRESSED
000000019 FMT   L MX
000000019 LDR   L 00000npc^a22^^^^^^^^4500
000000019 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000019 911   L $$aPShKo-DNC-LDNBG-016$$cאוסף שוש קורמוש
000000019 351   L $$cFile Record
000000019 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000019 BAS   L $$aVIS
000000019 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000019 OWN   L $$aNNL
000000019 STA   L $$aSUPPRESSED
000000020 FMT   L MX
000000020 LDR   L 00000npc^a22^^^^^^^^4500
000000020 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000020 911   L $$aPShKo-DNC-LDNBG-017$$cאוסף שוש קורמוש
000000020 351   L $$cFile Record
000000020 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000020 BAS   L $$aVIS
000000020 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000020 OWN   L $$aNNL
000000020 STA   L $$aSUPPRESSED
000000021 FMT   L MX
000000021 LDR   L 00000npc^a22^^^^^^^^4500
000000021 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000021 911   L $$aPShKo-DNC-LDNBG-018$$cאוסף שוש קורמוש
000000021 351   L $$cFile Record
000000021 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000021 BAS   L $$aVIS
000000021 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000021 OWN   L $$aNNL
000000021 STA   L $$aSUPPRESSED
000000022 FMT   L MX
000000022 LDR   L 00000npc^a22^^^^^^^^4500
000000022 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000022 911   L $$aPShKo-DNC-LDNBG-019$$cאוסף שוש קורמוש
000000022 351   L $$cFile Record
000000022 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000022 BAS   L $$aVIS
000000022 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000022 OWN   L $$aNNL
000000022 STA   L $$aSUPPRESSED
000000023 FMT   L MX
000000023 LDR   L 00000npc^a22^^^^^^^^4500
000000023 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000023 911   L $$aPShKo-DNC-LDNBG-020$$cאוסף שוש קורמוש
000000023 351   L $$cFile Record
000000023 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000023 BAS   L $$aVIS
000000023 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000023 OWN   L $$aNNL
000000023 STA   L $$aSUPPRESSED
000000024 FMT   L MX
000000024 LDR   L 00000npc^a22^^^^^^^^4500
000000024 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000024 911   L $$aPShKo-DNC-LDNBG-021$$cאוסף שוש קורמוש
000000024 351   L $$cFile Record
000000024 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000024 BAS   L $$aVIS
000000024 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000024 OWN   L $$aNNL
000000024 STA   L $$aSUPPRESSED
000000025 FMT   L MX
000000025 LDR   L 00000npc^a22^^^^^^^^4500
000000025 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000025 911   L $$aPShKo-DNC-LDNBG-022$$cאוסף שוש קורמוש
000000025 351   L $$cFile Record
000000025 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000025 BAS   L $$aVIS
000000025 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000025 OWN   L $$aNNL
000000025 STA   L $$aSUPPRESSED
000000026 FMT   L MX
000000026 LDR   L 00000npc^a22^^^^^^^^4500
000000026 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000026 911   L $$aPShKo-DNC-LDNBG-023$$cאוסף שוש קורמוש
000000026 351   L $$cFile Record
000000026 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000026 BAS   L $$aVIS
000000026 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000026 OWN   L $$aNNL
000000026 STA   L $$aSUPPRESSED
000000027 FMT   L MX
000000027 LDR   L 00000npc^a22^^^^^^^^4500
000000027 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000027 911   L $$aPShKo-DNC-LDNBG-024$$cאוסף שוש קורמוש
000000027 351   L $$cFile Record
000000027 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000027 BAS   L $$aVIS
000000027 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000027 OWN   L $$aNNL
000000027 STA   L $$aSUPPRESSED
000000028 FMT   L MX
000000028 LDR   L 00000npc^a22^^^^^^^^4500
000000028 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000028 911   L $$aPShKo-DNC-LDNBG-025$$cאוסף שוש קורמוש
000000028 351   L $$cFile Record
000000028 24510 H $$aתצלומי פורטרט - ליאת דרור וניר בן גל, 1 מתוך 3
000000028 BAS   L $$aVIS
000000028 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000028 OWN   L $$aNNL
000000028 STA   L $$aSUPPRESSED
000000029 FMT   L MX
000000029 LDR   L 00000npc^a22^^^^^^^^4500
000000029 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000029 911   L $$aPShKo-DNC-LDNBG-026$$cאוסף שוש קורמוש
000000029 351   L $$cFile Record
000000029 24510 H $$aתצלומי פורטרט - ליאת דרור וניר בן גל, 2 מתוך 3
000000029 BAS   L $$aVIS
000000029 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000029 OWN   L $$aNNL
000000029 STA   L $$aSUPPRESSED
000000030 FMT   L MX
000000030 LDR   L 00000npc^a22^^^^^^^^4500
000000030 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000030 911   L $$aPShKo-DNC-LDNBG-027$$cאוסף שוש קורמוש
000000030 351   L $$cFile Record
000000030 24510 H $$aתצלומי פורטרט - ליאת דרור וניר בן גל, 3 מתוך 3
000000030 BAS   L $$aVIS
000000030 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000030 OWN   L $$aNNL
000000030 STA   L $$aSUPPRESSED
000000031 FMT   L MX
000000031 LDR   L 00000npc^a22^^^^^^^^4500
000000031 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000031 911   L $$aPShKo-DNC-LDNBG-028$$cאוסף שוש קורמוש
000000031 351   L $$cFile Record
000000031 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000031 BAS   L $$aVIS
000000031 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000031 OWN   L $$aNNL
000000031 STA   L $$aSUPPRESSED
000000032 FMT   L MX
000000032 LDR   L 00000npc^a22^^^^^^^^4500
