911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PYaKa-001-002-033	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 21 - 1986	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-034	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 22 - 1986	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-035	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 23 - 1986	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-036	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 24 - 1986	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-037	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 25 - 1986	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-038	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 26 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-039	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 27 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-040	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 28 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-041	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 29 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-042	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 30 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-043	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 31 - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-044	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה31 [1] - 1987	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-045	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 32 - 1987-1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-046	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 33 - 1987-1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-047	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 34 - 1987-1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-048	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 35 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-049	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 36 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-050	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 37 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-051	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 38 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-052	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 39 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-053	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 40 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-054	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 41 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-055	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 42 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-002-056	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה 43 - 1988	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
