911##a,911##c,351##c,LDR,008,24510a,BAS##a,999##a,999##b,999##b,FMT,OWN##a,STA##a
 PShAV -001 -007 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'נידוני אלטונה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -007 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עיתונות - 'נידוני אלטונה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -007 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'נידוני אלטונה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -008,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,שמו הולך לפניו',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -008 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלום - 'שמו הולך לפניו',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -008 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עלונים - 'שמו הולך לפניו',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -008 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,חולפות - 'שמו הולך לפניו',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתבים - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -004,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מחזה - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -005,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עיתונות עברית - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -009 -006,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עיתונות לעז - 'בית במצב טוב',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -010,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,אפיריון הכלולות,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -010 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים 1 מתוך 2 - 'אפיריון הכלולות',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -010 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים 2 מתוך 2 - 'אפיריון הכלולות',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -010 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,כרזה - 'אפיריון הכלולות',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -011,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,ביבר הזכוכית,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -011 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'ביבר הזכוכית',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -011 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים ודפי קונטקט - 'ביבר הזכוכית',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -011 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מסמך אישור - 'ביבר הזכוכית',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,חומרים נוספים,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'סטרפטיז',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'מרקו',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'אהבה שכזאת',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -004,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תכנייה - 'שטח של הפקר',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -005,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתבים - תיאטרון זווית,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -006,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עלון - תיאטרון זווית,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -007,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,כרטיס ברכה - תיאטרון זווית,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -008,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלום - 'פרח הקקטוס',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -009,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'מות הסוכן',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -010,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'הכרטסת',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -012 -011,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'יצור מוזר האדם',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
45234,שמוליק עצמון-וירצר,Fonds Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,שלושת השמוליקים,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,"די קליינע מענטשלאך', 1960 -1976",VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,"עיתונות עברית -
'די קליינע מענטשלאך', 1960 -1976",VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,"עיתונות יידית - 
'די קליינע מענטשלאך', 1960 -1976",VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,"עיתונות לועזית -
'די קליינע מענטשלאך' 1960 -1976",VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -004,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מערכונים - אליהו גולדנברג,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -005,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתבים עבור אליהו גולדנברג,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -002 -001 -006,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתבים עבור שמוליק סגל,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
