911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PYoBo-002-004-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - 'קרוסל'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'קרוסל'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'קרוסל 2'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004-005	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - 'קרוסל' באולימפיאדת מינכן, 1 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-004-006	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - 'קרוסל' באולימפיאדת מינכן, 2 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-005	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'על מסכות ואנשים'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-005-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניות - 'על מסכות ואנשים'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-005-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - 'על מסכות ואנשים'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-005-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	`A Video - `Men and Masks	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-005-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'על מסכות ואנשים'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'גברתי המדינה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניה ועלון - 'גברתי המדינה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - 'גברתי המדינה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - 'גברתי המדינה', 1 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלומים - 'גברתי המדינה', 2 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-005	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"וידאו -  'גברתי המדינה', 1 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-006-006	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"וידאו -  'גברתי המדינה', 2 מתוך 2"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-007	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'הנעליים האדומות'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-007-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תכניה - 'הנעליים האדומות'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-007-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - 'הנעליים האדומות'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-007-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'הנעליים האדומות'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-002-008	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	 'חלומות באשפמיה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
