911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PAlAv-001-001-030	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - כסאות, בית ירושלמי חיים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-031	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - כסאות, בית לוסטיג"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-032	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - רהיטים, בית דויטשר"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-033	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט לביצוע - כורסא, בית חבס. ה, תל אביב"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-034	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט לביצוע - כורסא, בית קוטשר"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-035	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - רהיטים, בית קליימן"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-036	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט לביצוע - כורסא, בית יעקובוביץ'"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-037	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - כסאות, בית וולפלד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-038	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוטים לביצוע - כסאות, בית מאוטנר-לוריא"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-039	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט לביצוע - מיטה, בית פפריקה"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PAlAv-001-001-040	אוסף אלפרד אברהם	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט לביצוע - ספה, בית אקסלרוד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
