911##a	911##c	351##c	LDR	008	24500a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
ArHb-001-004-009	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בית תרבות, צובה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-004-010	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שיפוץ בית תרבות, צובה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005	אוסף חנן הברון	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	חדר אוכל ומטבח בקיבוץ דפנה	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-001	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"מזכירות, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-002	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-003	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-004	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-005	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-006	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-007	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-008	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
ArHb-001-005-009	אוסף חנן הברון	פריט	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חדר אוכל ומטבח, דפנה"	VIS	ARCHIVE	NOULI	NOULI	MX	NNL	SUPPRESSED
